;Status legend;Reviewed legend;;
Block Fee;published;human written;A block fee is the total sum of transaction fees payed in a block. Together with the block subsidy, it constitutes the block reward received by the miner. Fees are determined by the difference between input and output values in a transaction.;
Block Hash;published;human written;A block hash is the output of applying the SHA-256 hash function twice to the block header. It uniquely identifies a block and must lie below the current difficulty target for the block to be considered valid. Because of the preimage resistance of the hash function, the only way to find a valid block hash is through brute-force computation in the Proof-of-Work process. This ensures that the Bitcoin blockchain is secured by computational power.;
Block Header;published;human written;The block header is an 80-byte metadata structure summarizing a block. It contains the previous block’s hash, the Merkle root of included transactions, the timestamp, the difficulty target, and the nonce. Miners repeatedly modify the nonce when performing Proof-of-Work.;
Block Height;published;human written;The block height is the sequential number of a block in the blockchain, starting with the genesis block at height 0. It serves as a reference point for blocks and is used to measure blockchain length. The consensus mechanism of Bitcoin ensures that the highest valid chain by accumulated work is accepted.;
Block Reward;published;human written;The block reward is the incentive given to a miner for appending a valid block to the blockchain. It consists of the block subsidy and the collected block fees. Over time, the subsidy decreases via scheduled halvings, shifting reliance to transaction fees.;
Block Subsidy;published;human written;The block subsidy is the newly issued bitcoin in each block. It began at 50 bitcoin and is reduced by half every 210,000 blocks in the halving process. Eventually, the subsidy will reach zero, leaving only transaction fees as miner incentives.;
Block Time;published;human written;The block time is the average interval between successive blocks added to the Bitcoin blockchain. The protocol targets a block time of 10 minutes by adjusting the difficulty every 2016 blocks to match the prevailing hashrate. While the expected average is 10 minutes, actual block intervals vary due to the probabilistic nature of Proof-of-Work.;
Blockchain;published;human written;A blockchain is a sequential chain of  blocks, which are cryptographically linked by blocks hashes. It serves as a public, append-only ledger of all transactions. In Bitcoin, the blockchain is secured by Proof-of-Work, making historical records computationally infeasible to alter.;
Coinbase Transaction;published;human written;A coinbase transaction is the first transaction in each block, created by the successful miner. It has no inputs and pays the block reward to the miner. The coinbase field may also include arbitrary data such as extra nonces or text messages.;
Consensus Mechanism;published;human written;A consensus mechanism is a set of rules by which distributed systems agree on a single valid state of the ledger. In Bitcoin, consensus arises from block validation rules and the rule to accept the chain with the most accumulated Proof-of-Work.;
Debt-deflation dynamic;published;human written;The debt-deflation dynamic describes a self-reinforcing cycle in which falling prices increase the real burden of outstanding debt. As prices and nominal incomes decline, the fixed nominal value of debt and interest payments becomes harder to service. This strain leads to defaults and deleveraging, reducing aggregate demand and pushing prices down further. The resulting credit contraction and bankruptcies amplify the process, creating a deflationary spiral that can destabilize the entire financial system.;004
Difficulty;published;human written;The Block difficulty is a measure of how hard it is to find a valid block hash that meets the current difficulty target. A block is only valid if its hash lies below a certain threshhold, known as the difficulty target. The difficulty target is adjusted every 2016 blocks, which correspond to approximately 2 weeks, to maintain an average block time of 10 minutes.;
Financialization;published;human written;Financialization is the process by which financial markets, instruments, and motives gain increasing influence over economic activity. The term is sometimes used to describe the development of financial capitalism from 1980 to the present, a period during which debt-to-equity ratios increased and financial services grew to account for a larger share of national income relative to other sectors. It is characterized by the expansion of leverage, derivatives, and speculative capital allocation relative to productive investment. From a Bitcoin perspective, financialization can blur the boundary between sound monetary assets and financial claims built upon them.;004
Fiscal dominance;published;human written;Fiscal dominance describes a situation in which government debt levels and budgetary needs constrain central bank policy. Under fiscal dominance, monetary authorities must prioritize financing state deficits—typically through inflationary measures—over price stability. Bitcoin is sometimes framed as an escape from the risks inherent in prolonged fiscal dominance.;004
Full Node;published;human written;A full node is software that independently validates all transactions and blocks against consensus rules. Full nodes enforce the protocol and maintain the UTXO set. Running a full node is essential for verifying Bitcoin without trusting third parties.;
Genesis Block;published;human written;The genesis block is the first block in the Bitcoin blockchain, mined by Satoshi Nakamoto on January 3, 2009. It has a block height of 0 and contains a message referencing a newspaper headline about bank bailouts. Its structure is hardcoded in every Bitcoin client.;
Halving;published;human written;A halving is the scheduled reduction of the block subsidy by 50% every 210,000 blocks, which corresponds to approximately every four years. The halvings ensure the fixed supply of about 21 million bitcoin (20,999,999.9769 BTC to be exact) that will ever exist.;
Hash Function;published;human written;A hash function is a one-way mathematical function that produces a fixed-size output from arbitrary input data. Its key properties are that different inputs produce different outputs, one cannot reproduce the input from the output, and that even tiny changes in the input completely changes the output. Bitcoin relies on SHA-256 and RIPEMD-160 as its primary hash functions.;
Hashrate;published;human written;The hashrate is the total computational power applied to Proof-of-Work in the Bitcoin network. It is measured in hashes per second and determines the overall security against attacks such as a 51 percent attack. Higher hashrate increases network resilience.;
Miner;published;human written;A miner is an entity operating specialized hardware to perform Proof-of-Work. Miners assemble valid transactions into blocks and attempt to find a nonce that produces a block hash below the current difficulty target. Successful miners receive the block reward.;
Mining;published;human written;Mining is the process of producing new blocks through Proof-of-Work. It secures the blockchain by requiring real-world computational effort, thereby preventing double spending. Mining also issues new bitcoin via the block subsidy and distributes transaction fees. Today, Bitcoin mining is highly professionalized, carried out by specialized companies operating industrial-scale facilities (aka mining farms) with purpose-built ASIC hardware, optimized energy sourcing, and sophisticated operational strategies.;
Mining Farm;published;human written;A mining farm is a large-scale facility dedicated to mining. It typically hosts thousands of ASICs in a location with low-cost electricity and effective cooling. Mining farms dominate the total network hashrate due to economies of scale.;
Mining Pool;published;human written;A mining pool is a group of miners who combine their hashrate to reduce variance in rewards. The pool operator distributes block rewards proportionally to contributed work. This stands in contrast to solo mining, where an individual miner attempts to find blocks independently. Solo mining pools offer a hybrid approach: each miner submits work individually but uses shared infrastructure to reduce operational overhead while still receiving full rewards when a block is found.;
Monetary premium;published;human written;A monetary premium is the portion of an asset’s market value that exceeds its utility or intrinsic use-value, reflecting its role as money. Gold historically carried a large monetary premium due to its function as a store of value. Bitcoin’s value is similarly understood as arising primarily from its monetary properties rather than from industrial use.;004
Node;published;human written;A node is software that participates in the Bitcoin network by following consensus rules, validating transactions and blocks, and relaying information. A full node independently verifies all rules, while a light node relies on external validation.;
Nonce;published;human written;A nonce is a 32-bit field in the block header that miners vary when performing Proof-of-Work. By changing the nonce, miners attempt to find a valid hash below the difficulty target. When nonce space is exhausted, other fields such as the coinbase extra nonce are adjusted.;
Petrodollar;published;human written;The petrodollar refers to the global system in which international oil sales are predominantly denominated and settled in U.S. dollars. This arrangement, established in the 1970s, reinforced the dollar’s status as the world’s primary reserve currency. The petrodollar system creates structural demand for dollars and U.S. debt, shaping international monetary and trade dynamics.;004
Proof of Work (POW);published;human written;Proof-of-Work is Bitcoin’s consensus mechanism requiring miners to find block hashes below the current difficulty target. This secures the blockchain with verifiable computational power, preventing alteration of the transaction history. Miners receive a reward in bitcoin, known as a block reward, for providing this computing power to the network.;002
RIPEMD-160;published;human written;RIPEMD-160 is a cryptographic hash function producing a 160-bit output. Bitcoin uses RIPEMD-160 applied to a SHA-256 hash of a public key to generate addresses. This process shortens keys and adds an extra layer of security.;
Satoshi Nakamoto;published;human written;Satoshi Nakamoto is the pseudonymous creator of Bitcoin. He published the Bitcoin whitepaper in 2008 and released the first version of the reference implementation, Bitcoin Core, in January 2009. Satoshi mined the genesis block and contributed to the early development of the protocol before disappearing in 2010. To this day, it remains unknown who Satoshi Nakamoto is and whether the name represents a single individual or a group of people.;
SHA-256;published;human written;SHA-256 is a cryptographic hash function producing a 256-bit output. It is the core algorithm in Bitcoin’s Proof-of-Workand address generation. Double SHA-256 is applied to block headers to secure the blockchain.;
Solo Mining;published;human written;Solo mining is the practice of an individual miner attempting to find valid blocks independently, rather than joining a mining pool. While feasible in Bitcoin’s early days, solo mining is now highly unlikely to succeed due to the vast network hashrate.;
UTXO – Unspent Transaction Output;published;human written;An unspent transaction output (UTXO) is a chunk of bitcoin that was received in a previous transaction but has not yet been spent. An UTXO can serve as an input of a new Bitcoin transaction. Only an owner of the private key corresponding to the bitcoin address, which controls the UTXO, can spend the UTXO in a new transaction. For that reason, the complete collection of all UTXOs at any given time, known as the UTXO set, fully represents the current global state of bitcoin ownership.;002
UTXO Management;published;human written;UTXO management refers to the strategy and handling of multiple unspent transaction outputs within a wallet. Efficient UTXO management reduces transaction fees, avoids unnecessary address reuse, and minimizes privacy leaks. It also ensures that inputs are selected in a way that balances performance, cost, and long-term usability of the UTXO set.;
UTXO Set;published;human written;The UTXO set is the complete collection of all currently spendable transaction outputs in the Bitcoin system. It represents the global state of bitcoin ownership and is maintained by all full nodes.;
;;;;
;;;;
